Species,Common Name,Nombre Comun,Home Range,Occupancy,Detection Probability,SE.DP,SE.Occ,Locality,References,Season,Num Cameras,Area,
Dasypus novemcinctus,Nine-banded armadillo,armadillo de nueve bandas,0.03,0.63,0.11,0.01,0.066,Suriname,Ahumada et al 2011,30,60,120,
Didelphis marsupialis,Common opossum,zarigüeya común,0.14,0.62,0.1,0.009,0.068,Suriname,Ahumada et al 2011,30,60,120,
Eira barbara,Tayra,hurón mayor,9.86,0.31,0.04,0.012,0.095,Suriname,Ahumada et al 2011,30,60,120,
Leopardus pardalis,Ocelot,ocelote,4.53,0.47,0.05,0.01,0.085,Suriname,Ahumada et al 2011,30,60,120,
Leopardus wiedii,Margay,tigrillo,,0.33,0.09,0.013,0.066,Suriname,Ahumada et al 2011,30,60,120,
Mazama americana,Red brocket,corzuela colorada,,0.06,0.05,0.004,0.036,Suriname,Ahumada et al 2011,30,60,120,
Metachirus nudicaudatus,Brown four-eyed opossum,tlacuache cuatro ojos,,0.11,0.05,0.004,0.046,Suriname,Ahumada et al 2011,30,60,120,
Nasua nasua,South American coati,coatí de cola anillada sudamericano,0.7,0.23,0.06,0.014,0.066,Suriname,Ahumada et al 2011,30,60,120,
Panthera onca,Jaguar,Jaguar,29,0.21,0.05,0.004,0.062,Suriname,Ahumada et al 2011,30,60,120,
Pecari tajacu,Collared peccary,pecarí de collar,,0.17,0.05,0.004,0.056,Suriname,Ahumada et al 2011,30,60,120,
Philander opossum,Gray four-eyed opossum,zarigüeya gris de cuatro ojos,0.00285,0.41,0.05,0.004,0.077,Suriname,Ahumada et al 2011,30,60,120,
Puma concolor,Cougar,Puma,118,0.04,0.05,0.004,0.03,Suriname,Ahumada et al 2011,30,60,120,
Puma yagouaroundi,Jaguarundi,yaguarundí,,0.06,0.05,0.004,0.036,Suriname,Ahumada et al 2011,30,60,120,
Tayassu pecari,White-lipped peccary,pecarí barbiblanco,9.85,0.02,0.05,0.004,0.021,Suriname,Ahumada et al 2011,30,60,120,
Conepatus semistriatus,Striped hog-nosed skunk,mofeta bilistada,0.23,0.48,0.16,0.014,0.076,Costa Rica,Ahumada et al 2011,30,60,120,
Cuniculus paca,Lowland paca,paca común,,0.65,0.08,0.009,0.069,Manaus Brazil,Ahumada et al 2011,30,60,120,
Dasypus novemcinctus,Nine-banded armadillo,armadillo de nueve bandas,0.03,0.49,0.07,0.01,0.073,Manaus Brazil,Ahumada et al 2011,30,60,120,
Didelphis marsupialis,Common opossum,zarigüeya común,0.14,0.6,0.04,0.008,0.104,Manaus Brazil,Ahumada et al 2011,30,60,120,
Eira barbara,Tayra,hurón mayor,9.86,0.12,0.02,0.016,0.08,Manaus Brazil,Ahumada et al 2011,30,60,120,
Leopardus pardalis,Ocelot,ocelote,4.53,0.53,0.05,0.004,0.079,Manaus Brazil,Ahumada et al 2011,30,60,120,
Mazama americana,Red brocket,corzuela colorada,,0.28,0.05,0.004,0.066,Manaus Brazil,Ahumada et al 2011,30,60,120,
Metachirus nudicaudatus,Brown four-eyed opossum,tlacuache cuatro ojos,,0.02,0.05,0.004,0.02,Manaus Brazil,Ahumada et al 2011,30,60,120,
Nasua nasua,South American coati,coatí de cola anillada sudamericano,,0.59,0.11,0.01,0.066,Manaus Brazil,Ahumada et al 2011,30,60,120,
Panthera onca,Jaguar,Jaguar,29,0.23,0.04,0.013,0.076,Manaus Brazil,Ahumada et al 2011,30,60,120,
Pecari tajacu,Collared peccary,pecarí de collar,,0.38,0.05,0.004,0.073,Manaus Brazil,Ahumada et al 2011,30,60,120,
Philander opossum,Gray four-eyed opossum,zarigüeya gris de cuatro ojos,0.00285,0.68,0.05,0.004,0.078,Manaus Brazil,Ahumada et al 2011,30,60,120,
Puma concolor,Cougar,Puma,118,0.06,0.05,0.004,0.034,Manaus Brazil,Ahumada et al 2011,30,60,120,
Sciurus aestuans,Brazilian squirrel,Ardilla gris,,0.08,0.05,0.004,0.039,Manaus Brazil,Ahumada et al 2011,30,60,120,
Tayassu pecari,White-lipped peccary,pecarí barbiblanco,9.85,0.02,0.05,0.004,0.02,Manaus Brazil,Ahumada et al 2011,30,60,120,
Cuniculus paca,Lowland paca,paca común,,0.76,0.15,0.01,0.057,Suriname,Ahumada et al 2011,30,60,120,
Cuniculus paca,Lowland paca,paca común,,0.49,0.05,0.012,0.1,Costa Rica,Ahumada et al 2011,30,60,120,
Dasyprocta punctata,Central American agouti,agutí centroamericano,,0.36,0.09,0.014,0.077,Costa Rica,Ahumada et al 2011,30,60,120,
Dasypus novemcinctus,Nine-banded armadillo,armadillo de nueve bandas,0.03,0.42,0.06,0.008,0.091,Costa Rica,Ahumada et al 2011,30,60,120,
Didelphis marsupialis,Common opossum,zarigüeya común,0.14,0.28,0.1,0.017,0.07,Costa Rica,Ahumada et al 2011,30,60,120,
Leopardus pardalis,Ocelot,ocelote,4.53,0.06,0.06,0.008,0.038,Costa Rica,Ahumada et al 2011,30,60,120,
Leopardus wiedii,Margay,tigrillo,,0.06,0.06,0.008,0.038,Costa Rica,Ahumada et al 2011,30,60,120,
Mazama americana,Red brocket,corzuela colorada,,0.17,0.02,0.022,0.134,Costa Rica,Ahumada et al 2011,30,60,120,
Nasua narica,White-nosed coati,coatí de nariz blanca,0.7,0.14,0.02,0.02,0.122,Costa Rica,Ahumada et al 2011,30,60,120,
Panthera onca,Jaguar,Jaguar,29,0.52,0.04,0.011,0.14,Costa Rica,Ahumada et al 2011,30,60,120,
Pecari tajacu,Collared peccary,pecarí de collar,,0.28,0.02,0.016,0.229,Costa Rica,Ahumada et al 2011,30,60,120,
Philander opossum,Gray four-eyed opossum,zarigüeya gris de cuatro ojos,0.00285,0.02,0.1,0.059,0.023,Costa Rica,Ahumada et al 2011,30,60,120,
Puma concolor,Cougar,Puma,118,0.11,0.06,0.008,0.052,Costa Rica,Ahumada et al 2011,30,60,120,
Tamandua mexicana,Northern tamandua,tamandúa mexicano,0.2,0.41,0.06,0.008,0.09,Costa Rica,Ahumada et al 2011,30,60,120,
Tapirus bairdii,Baird's tapir,tapir centroamericano,0.99,0.03,0.06,0.008,0.027,Costa Rica,Ahumada et al 2011,30,60,120,
Tapirus bairdii,Baird's tapir,tapir centroamericano,0.99,0.45,0.4,-,0.15,Chiapas Mexico,de la Torre et al 2018,168,55,,
Spilogale putorius,Eastern spotted skunk,mofeta moteada oriental,,0.245,0.02,-,0.15,Colorado USA,Shanon et al 2014,120,40,160,
Urocyon cinereoargenteus,Gray fox,zorro gris,0.99,0.4,0.065,-,0.15,Colorado USA,Shanon et al 2015,120,40,160,
Odocoileus hemianus,Mule deer,ciervo mulo,1.99,0.925,0.141,-,0.15,Colorado USA,Shanon et al 2016,120,40,160,
Ursus americanus,American black bear,oso negro,27.9,0.504,0.072,-,0.15,Colorado USA,Shanon et al 2017,120,40,160,
Lynx rufus,Bobcat,lince rojo,28.4,0.97,0.04,-,0.15,Colorado USA,Shanon et al 2018,120,40,160,
Silvilagus sp.,Rabbit,Conejo,,0.925,0.19,-,0.15,Colorado USA,Shanon et al 2019,120,40,160,
Canis latrans,Coyote,Coyote,16.8,0.861,0.03,-,0.15,Colorado USA,Shanon et al 2020,120,40,160,
Puma concolor,Cougar,Puma,118,0.6,0.03,-,0.15,Colorado USA,Shanon et al 2021,120,40,160,